Mapping parameters for Caretta caretta (loggerhead turtle)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."


Map data (HSPEC) for predicted occurrences (n = 13089): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Caretta,caretta,18.25,105.75,1110:485:2,0.07
Caretta,caretta,19.75,107.25,1110:497:3,0.17
Caretta,caretta,19.75,107.75,1110:497:4,0.17
Caretta,caretta,19.75,109.75,1110:499:4,0.11
Caretta,caretta,10.25,115.25,1111:205:1,0.18
Caretta,caretta,10.75,115.25,1111:205:3,0.12
Caretta,caretta,10.75,117.75,1111:207:4,0.15
Caretta,caretta,11.25,115.25,1111:215:1,0.02
Caretta,caretta,16.25,111.25,1111:361:1,0.11
Caretta,caretta,18.75,111.75,1111:381:4,0.15
Caretta,caretta,18.75,112.75,1111:382:4,0.16
Caretta,caretta,19.75,110.25,1111:390:3,0.04
Caretta,caretta,19.25,112.75,1111:392:2,0.14
Caretta,caretta,16.75,119.75,1111:469:4,0.03
Caretta,caretta,10.25,120.75,1112:100:2,0.09
Caretta,caretta,12.75,121.25,1112:121:3,0.04
Caretta,caretta,14.75,121.25,1112:141:3,0.08
Caretta,caretta,12.75,144.25,1114:124:3,0.03
Caretta,caretta,13.25,144.25,1114:134:1,0.14
Caretta,caretta,11.75,166.75,1116:216:4,0.04
Caretta,caretta,10.25,170.75,1117:100:2,0.06
Caretta,caretta,23.75,35.25,1203:235:3,0.04
Caretta,caretta,24.75,35.75,1203:245:4,0.01
Caretta,caretta,28.25,33.25,1203:383:1,0.04
Caretta,caretta,28.25,33.75,1203:383:2,0.17
Caretta,caretta,29.75,32.25,1203:392:3,0.01
Caretta,caretta,25.75,37.25,1203:457:3,0.02
Caretta,caretta,26.25,36.75,1203:466:2,0.19
Caretta,caretta,27.25,35.25,1203:475:1,0.12
Caretta,caretta,29.25,35.25,1203:495:1,0.02
Caretta,caretta,23.75,52.25,1205:132:3,0.02
Caretta,caretta,24.75,53.25,1205:143:3,0.18
Caretta,caretta,24.75,53.75,1205:143:4,0.17
Caretta,caretta,24.25,54.75,1205:144:2,0.01
Caretta,caretta,24.75,54.25,1205:144:3,0.15
Caretta,caretta,25.75,51.25,1205:351:3,0.08
Caretta,caretta,25.25,54.25,1205:354:1,0.18
Caretta,caretta,25.25,54.75,1205:354:2,0.15
Caretta,caretta,25.75,54.75,1205:354:4,0.19
Caretta,caretta,25.25,55.75,1205:455:2,0.08
Caretta,caretta,25.75,55.25,1205:455:3,0.18
Caretta,caretta,25.75,55.75,1205:455:4,0.18
Caretta,caretta,25.25,57.25,1205:457:1,0.09
Caretta,caretta,25.75,59.25,1205:459:3,0.03
Caretta,caretta,22.25,67.25,1206:227:1,0.09
Caretta,caretta,22.25,69.75,1206:229:2,0.13
Caretta,caretta,23.75,68.75,1206:238:4,0.03
Caretta,caretta,24.75,65.75,1206:245:4,0.19
Caretta,caretta,24.25,67.75,1206:247:2,0.03
Caretta,caretta,25.75,64.25,1206:354:3,0.04
Caretta,caretta,25.75,66.75,1206:456:4,0.04
Caretta,caretta,23.25,70.25,1207:130:1,0.03
Caretta,caretta,20.25,88.75,1208:208:2,0.16
Caretta,caretta,20.25,89.25,1208:209:1,0.11
Caretta,caretta,22.25,88.25,1208:228:1,0.11
Caretta,caretta,22.25,88.75,1208:228:2,0.02
Caretta,caretta,22.25,89.25,1208:229:1,0.01
Caretta,caretta,22.25,89.75,1208:229:2,0.11
Caretta,caretta,20.75,93.25,1209:103:3,0.01
Caretta,caretta,21.25,90.25,1209:110:1,0.17
Caretta,caretta,21.75,90.25,1209:110:3,0.04
Caretta,caretta,21.75,91.25,1209:111:3,0.03
Caretta,caretta,21.75,91.75,1209:111:4,0.19
Caretta,caretta,22.25,91.75,1209:121:2,0.01
Caretta,caretta,21.25,106.75,1210:216:2,0.04
Caretta,caretta,21.25,107.25,1210:217:1,0.08
Caretta,caretta,22.75,113.25,1211:123:3,0.03
Caretta,caretta,23.25,113.25,1211:133:1,0.04
Caretta,caretta,23.25,113.75,1211:133:2,0.04
Caretta,caretta,21.25,116.25,1211:216:1,0.14
Caretta,caretta,24.75,123.75,1212:143:4,0.16
Caretta,caretta,28.25,120.75,1212:380:2,0.04
Caretta,caretta,29.25,121.25,1212:391:1,0.07
Caretta,caretta,29.75,121.25,1212:391:3,0.03
Caretta,caretta,25.75,126.75,1212:456:4,0.13
Caretta,caretta,28.75,127.25,1212:487:3,0.11
Caretta,caretta,38.75,2.75,1300:382:4,0.10
Caretta,caretta,39.75,4.75,1300:394:4,0.15
Caretta,caretta,34.75,10.25,1301:140:3,0.03
Caretta,caretta,34.25,14.25,1301:144:1,0.16
Caretta,caretta,31.75,16.75,1301:216:4,0.10
Caretta,caretta,31.25,18.75,1301:218:2,0.02
Caretta,caretta,34.75,15.25,1301:245:3,0.15
Caretta,caretta,35.25,10.75,1301:350:2,0.07
Caretta,caretta,35.25,14.75,1301:354:2,0.05
Caretta,caretta,36.25,10.25,1301:360:1,0.08
Caretta,caretta,38.25,11.25,1301:381:1,0.08
Caretta,caretta,35.25,15.25,1301:455:1,0.18
Caretta,caretta,32.75,23.75,1302:123:4,0.09
Caretta,caretta,34.75,23.75,1302:143:4,0.06
Caretta,caretta,31.75,29.75,1302:219:4,0.18
Caretta,caretta,35.75,25.75,1302:455:4,0.09
Caretta,caretta,38.25,25.25,1302:485:1,0.07
Caretta,caretta,32.25,30.25,1303:120:1,0.18
Caretta,caretta,32.25,31.25,1303:121:1,0.18
Caretta,caretta,32.25,31.75,1303:121:2,0.19
Caretta,caretta,32.25,32.25,1303:122:1,0.10
Caretta,caretta,33.25,34.75,1303:134:2,0.14
Caretta,caretta,36.25,34.75,1303:364:2,0.17
Caretta,caretta,30.25,48.25,1304:208:1,0.08
Caretta,caretta,30.75,48.75,1304:208:4,0.04
Caretta,caretta,30.75,49.25,1304:209:3,0.04
Caretta,caretta,37.25,118.75,1311:478:2,0.06
Caretta,caretta,37.75,118.75,1311:478:4,0.10
Caretta,caretta,30.25,120.25,1312:100:1,0.06
Caretta,caretta,30.75,120.75,1312:100:4,0.04
Caretta,caretta,31.75,120.25,1312:110:3,0.03
Caretta,caretta,31.25,121.25,1312:111:1,0.06
Caretta,caretta,31.25,121.75,1312:111:2,0.15
Caretta,caretta,31.75,121.25,1312:111:3,0.06
Caretta,caretta,31.75,121.75,1312:111:4,0.14
Caretta,caretta,32.25,120.25,1312:120:1,0.03
Caretta,caretta,30.75,128.25,1312:208:3,0.12
Caretta,caretta,36.75,120.75,1312:360:4,0.05
Caretta,caretta,37.25,121.75,1312:371:2,0.05
Caretta,caretta,39.25,120.25,1312:390:1,0.06
Caretta,caretta,35.25,126.75,1312:456:2,0.04
Caretta,caretta,35.25,127.75,1312:457:2,0.04
Caretta,caretta,35.25,128.25,1312:458:1,0.09
Caretta,caretta,37.75,126.75,1312:476:4,0.11
Caretta,caretta,38.25,125.25,1312:485:1,0.11
Caretta,caretta,38.25,125.75,1312:485:2,0.04
Caretta,caretta,38.75,125.75,1312:485:4,0.02
Caretta,caretta,38.25,128.25,1312:488:1,0.07
Caretta,caretta,39.75,125.75,1312:495:4,0.02
Caretta,caretta,39.75,128.75,1312:498:4,0.18
Caretta,caretta,33.25,132.75,1313:132:2,0.10
Caretta,caretta,32.75,139.75,1313:229:4,0.14
Caretta,caretta,36.75,133.25,1313:363:3,0.16
Caretta,caretta,37.25,132.25,1313:372:1,0.07
Caretta,caretta,37.25,132.75,1313:372:2,0.19
Caretta,caretta,36.75,137.75,1313:467:4,0.19
Caretta,caretta,33.75,140.25,1314:130:3,0.17
Caretta,caretta,37.25,140.75,1314:370:2,0.09
Caretta,caretta,37.25,141.75,1314:371:2,0.01
Caretta,caretta,42.25,3.75,1400:123:2,0.19
Caretta,caretta,40.75,7.75,1400:207:4,0.04
Caretta,caretta,40.75,10.25,1401:100:3,0.07
Caretta,caretta,42.25,12.25,1401:122:1,0.13
Caretta,caretta,40.75,19.75,1401:209:4,0.09
Caretta,caretta,41.75,17.25,1401:217:3,0.08
Caretta,caretta,42.75,18.75,1401:228:4,0.05
Caretta,caretta,43.75,16.75,1401:236:4,0.05
Caretta,caretta,44.25,15.75,1401:245:2,0.05
Caretta,caretta,44.75,15.25,1401:245:3,0.05
Caretta,caretta,45.75,12.25,1401:352:3,0.04
Caretta,caretta,42.25,27.25,1402:227:1,0.02
Caretta,caretta,42.75,28.75,1402:228:4,0.15
Caretta,caretta,43.25,29.25,1402:239:1,0.17
Caretta,caretta,44.75,28.75,1402:248:4,0.17
Caretta,caretta,44.75,29.25,1402:249:3,0.17
Caretta,caretta,45.25,29.25,1402:459:1,0.02
Caretta,caretta,45.25,29.75,1402:459:2,0.18
Caretta,caretta,44.25,31.25,1403:141:1,0.11
Caretta,caretta,45.25,37.75,1403:457:2,0.14
Caretta,caretta,46.75,35.25,1403:465:3,0.02
Caretta,caretta,47.25,37.25,1403:477:1,0.05
Caretta,caretta,43.25,41.25,1404:131:1,0.05
Caretta,caretta,41.25,121.75,1412:111:2,0.02
Caretta,caretta,42.75,130.75,1413:120:4,0.04
Caretta,caretta,42.75,131.25,1413:121:3,0.16
Caretta,caretta,42.75,131.75,1413:121:4,0.13
Caretta,caretta,42.75,132.25,1413:122:3,0.12
Caretta,caretta,42.75,132.75,1413:122:4,0.11
Caretta,caretta,42.75,133.25,1413:123:3,0.09
Caretta,caretta,42.75,133.75,1413:123:4,0.09
Caretta,caretta,42.75,134.25,1413:124:3,0.11
Caretta,caretta,43.25,131.75,1413:131:2,0.12
Caretta,caretta,43.25,132.25,1413:132:1,0.12
Caretta,caretta,43.25,134.25,1413:134:1,0.07
Caretta,caretta,43.25,134.75,1413:134:2,0.06
Caretta,caretta,43.25,135.25,1413:235:1,0.10
Caretta,caretta,43.75,135.25,1413:235:3,0.04
Caretta,caretta,43.75,135.75,1413:235:4,0.07
Caretta,caretta,44.25,135.75,1413:245:2,0.01
Caretta,caretta,44.25,136.25,1413:246:1,0.04
Caretta,caretta,44.75,136.75,1413:246:4,0.02
Caretta,caretta,44.75,137.25,1413:247:3,0.02
Caretta,caretta,41.75,143.75,1414:113:4,0.14
